CODIGOPACIENTE;NOMBRE;APELLIDOS;DIRECCION;POBLACION;CODIGOPOSTAL;TELEFONO;FECHANACIMIENTO
100;José;Romerales Pinto;Azorín 3;Móstoles;28935;912563256;21/03/1975
102;Santiago;González Sancho;Coslada 12;Madrid;28024;914562587;30/10/1947
103;Carmen;Rodríguez Santacana;Javier Poncela 3;Getafe;28902;915478555;06/11/1987
110;Alberto;Puig Monza;División Azul 5;Getafe;28902;914589966;18/07/1936
120;Sergio;Pérez Sanabria;Pizarro 45;Alcorcón;28223;915584471;12/04/1950
130;Jaime;Flores López;Alcatraz 56;Madrid;28001;914526654;23/01/1932
131;Enrique;Moreales Miguel;Madrid 45;Madrid;28028;914552203;12/08/1990
140;Ana;Torrente Hermosilla;Barcelona 35;Alcorcón;28223;914785236;25/03/1958
142;Olga;Prats Hernández;Versalles 2;Móstoles;28935;917458963;25/03/1958
200;Carlos;Jiménez Blanco;Gran Vía 12;Madrid;28003;914589632;12/01/1973
201;Marí;Tomás Caballo;Enrique Velasco 3;Madrid;28028;914578559;05/05/1955
207;Rogelia;Guerra Santa;Castellana 12;Madrid;28025;914562258;12/07/1990
220;Ivá;Granadino Callejas;Doctor Más 4;Madrid;28015;914522369;19/07/1975
231;Luis;Navarrete Prat;Trujillo 33;Alcorcón;28223;914512589;13/06/1940
240;Mónic;Armengol Prats;Doce de octubre 1;Madrid;28028;914588963;02/07/1985
300;Joaquí;Rodríguez Monzón;Barcelona 111;Alcorcón;28223;914578521;05/05/1977
302;Loreto;Martínez Lozano;Cipreses 56;Alcorcón;28223;914589632;24/01/1951
400;Luis;Martínez García;Olmos 54;Móstoles;28935;911235641;24/01/1980
401;Luisa;García Montoro;Olmos 24;Móstoles;28935;911235652;10/01/1975
